date,US_INTERNET,US_SEMICONDUCTOR,US_NEW_ENERGY,US_HEALTHCARE,US_FINANCIALS,US_REAL_ESTATE_CHAIN,US_ENERGY,US_MATERIALS,US_INDUSTRIALS,US_UTILITIES,CN_INTERNET,CN_SEMICONDUCTOR,CN_NEW_ENERGY,CN_HEALTHCARE,CN_FINANCIALS,CN_REAL_ESTATE_CHAIN,CN_ENERGY,CN_MATERIALS,CN_INDUSTRIALS,CN_UTILITIES
2023-08-08,115820325.45776367,1277769368.2022095,4679894.770431519,1617303144.4519043,1246358833.7524414,259074525.01296997,1479021429.6890259,505092322.9980469,801095455.5900574,891315470.268631,856512187.38873,467116922.67000675,266856235.23414135,900833650.9346387,76556096.11823559,356040881.9879081,9969302.237069607,158129131.32305145,517579568.63458157,136339677.57414418
2023-08-09,66119017.05932617,1308872275.4104614,106415377.9220581,1261720682.7148438,1271968328.049469,153214151.82495117,2094806598.3154297,623160322.8469849,822829333.5990906,776624926.7978668,731755421.40944,357321948.40485454,278030656.6185703,1020715538.3349526,63877138.04876804,304411590.27454805,9428822.213679552,106368101.7875998,366529363.3547783,140110749.459221
2023-08-10,122356234.80834961,1278212751.0650635,9952348.880767822,1223451345.1263428,1266194415.2736664,238564745.47576904,1577458071.0205078,436334582.17163086,755775420.5688477,803466187.1498108,721871175.2303839,269571026.29203796,227212076.55926943,518631706.60425425,53455301.27449036,207678131.32548332,19062545.42222023,57403685.4589566,281730737.2057438,82586046.2393269
2023-08-11,150031458.77075195,1612978011.7721558,4567560.443115234,990153579.9316406,916438823.5759735,162452404.78668213,1906399022.077942,311351115.55252075,596542422.9393005,717922448.9265442,844934385.0508184,408593505.221498,199430946.98602974,572592740.8852849,60398845.240187645,342532137.30350137,13653971.69829607,108971303.5157919,366020706.57444,78665591.78856748
2023-08-14,53241590.21606445,1211991384.6984863,5895334.881591797,1128884680.871582,790137221.3356018,152885407.6538086,1227473705.6625366,303373514.0022278,637729425.2853394,630696134.4268799,963793906.922842,478743250.47894645,275301935.447085,623913798.7208158,64427443.04366112,284422792.83549607,13819308.625155687,194517524.5935917,437427663.62023354,95370292.07862353
2023-08-15,40842649.37438965,1115518751.9714355,4022828.22265625,1175691409.90448,1875043705.399704,272992994.17648315,1790942964.074707,438508276.991272,711851524.2004395,874673321.3043213,867929227.7544079,583195048.3654549,380221047.71465063,592132781.5330658,54038007.934683084,316585227.95051336,11737841.124218702,114797439.30416107,309352792.63687134,101357492.01402456
2023-08-16,75733573.71826172,1045254962.7593994,6894699.21875,1210763863.8671875,1093515962.4595642,335239222.89733887,1499644858.0810547,403887847.8607178,1052955528.5797119,723820470.627594,800016773.3112395,434160525.46814084,236148286.67176962,596358369.8808081,65299724.036604166,324381100.1522511,11266355.135250092,92396511.84892654,334291361.7885947,46135455.744341016
2023-08-17,59886965.4876709,1061892124.3774414,5598551.582336426,1417107076.9989014,1238446002.2483826,548655011.2556458,1616200137.954712,401808124.51171875,1103687060.472107,685410772.8790283,1611250434.2859864,320717947.9944632,239405845.90289354,537359426.3974454,65607261.516451836,215628338.8038,12082616.57565236,105271010.87889671,631413370.8529698,63061618.47885847
2023-08-18,103145556.54144287,1271231821.5454102,10836826.477050781,1201661298.8815308,1324106437.9119873,364469757.5996399,1424173256.0302734,374556837.5312805,1095197014.6995544,744766251.7379761,1003691321.1310983,265683361.5922451,176948439.77166116,593675334.0729331,47277153.84528637,311538954.3794453,13031604.038357735,113401230.94679117,381017324.3971009,72734021.94202882
2023-08-21,45965683.4777832,1208342814.6850586,4814741.979217529,873608233.9416504,1045748153.5884857,299721120.48339844,1222044328.7155151,370306929.19921875,656960439.6194458,696446026.6456604,973930424.4027138,322799926.7001152,241493646.05196905,664206587.6887339,75140216.81613922,199262214.80251622,9716159.7828269,79958496.97447371,315747571.0556793,96309811.94866121
2023-08-22,62544147.52807617,1597323097.567749,5033178.678894043,879023632.7697754,1382956748.6801147,226753415.6677246,1023481716.1743164,275175591.595459,826507082.9589844,782139789.2932892,1205962575.41569,397082437.6169831,288999983.3689842,821453536.3147639,50331459.749132395,137293501.61258817,12225278.598117828,107208639.22328949,388030952.1341324,108626417.69782358
2023-08-23,61470640.228271484,1258128924.7131348,4847592.45300293,924530841.9433594,979106556.0951233,345810640.3930664,1539276407.472992,267462457.44781494,782881820.185852,776936218.1396484,943629609.7479993,282522452.5921583,164693635.24157715,494851908.8604657,54931630.38139343,141240214.48380947,15544186.725747585,88173172.1570015,326664498.91552925,60145255.03598994
2023-08-24,76620545.75195312,1981231228.2714844,14796942.993164062,1289928644.013977,1154524150.9162903,175183712.7746582,1318160232.4295044,309525245.3491211,959581462.3924255,748227386.8858337,1080139456.3768158,350659279.4496145,211996741.5792657,724259780.6822379,55375550.02813947,257634171.59855366,11474832.128942013,97812723.63122565,298086385.0661874,74724324.24211568
2023-08-25,97792661.31896973,1731059409.5916748,3386703.830718994,1079559278.263092,1307873456.1584473,380449648.2192993,1513199332.6293945,410266208.06274414,1340989019.4702148,726216006.6547394,825188940.4306147,342240887.6831472,153523921.22608423,501177077.59390473,54008416.27031565,565787658.5914881,11624245.23421526,149823952.4502992,332332673.6987293,94417114.91756058
